Entity,Day,Training computation (petaFLOP),Number of parameters,Researcher affiliation,Number of parameters (Original Day),Training computation (petaFLOP) (Original Day),,,,Number of parameters,Training computation (petaFLOP),,,,
DDPM-IP (CelebA),2/17/2026,350000,295000000,Academia,1/27/2023,1/27/2023,,,,295000000,350000,,,,
DETR,2/17/2026,400000,60000000,Industry,5/26/2020,5/26/2020,,,,60000000,400000,,,,
DINOv2,2/17/2026,7418511,1140000000,Academia and industry collaboration,4/14/2023,4/14/2023,,,,1140000000,7418511,,,,
DITTO,2/17/2026,3317.7603,750000000,Academia and industry collaboration,6/6/2022,6/6/2022,,,,750000000,3317.7603,,,,
DLRM-2020,2/17/2026,4000,1.00E+11,Industry,5/31/2019,5/31/2019,,,,1.00E+11,4000,,,,
DLWP,2/17/2026,5684.515,2676376,Academia and industry collaboration,2/9/2021,2/9/2021,,,,2676376,5684.515,,,,
DNABERT,2/17/2026,107000.01,110000000,Academia,8/15/2021,8/15/2021,,,,110000000,107000.01,,,,
DNN EM segmentation,2/17/2026,478,218896,Academia,12/3/2012,12/3/2012,,,,218896,478,,,,
DQN,2/17/2026,2.846884,836096,Industry,12/19/2013,12/19/2013,,,,836096,2.846884,,,,
DeBERTa,2/17/2026,25880000,1500000000,Industry,6/10/2021,6/10/2021,,,,1500000000,25880000,,,,
DeLighT,2/17/2026,3801.6,99000000,Other,8/3/2020,8/3/2020,,,,99000000,3801.6,,,,
Decision tree (classification),2/17/2026,0.063,12000,Industry,12/8/2001,12/8/2001,,,,12000,0.063,,,,
Deep Autoencoders,2/17/2026,36.72864,139808256,Academia,4/29/2011,4/29/2011,,,,139808256,36.72864,,,,
DeepSeek-Coder-V2 236B,2/17/2026,1285200000,2.36E+11,Industry,6/17/2024,6/17/2024,,,,2.36E+11,1285200000,,,,
DeepSeek-R1,2/17/2026,3500000000,6.71E+11,Industry,1/20/2025,1/20/2025,,,,6.71E+11,3500000000,,,,
DeepSeek-R1 (May 2025),2/17/2026,4020010000,6.71E+11,Industry,5/28/2025,5/28/2025,,,,6.71E+11,4020010000,,,,
DeepSeek-V2.5,2/17/2026,1789200000,2.36E+11,Industry,9/6/2024,9/6/2024,,,,2.36E+11,1789200000,,,,
DeepSeek-V3,2/17/2026,3300000000,6.71E+11,Industry,12/24/2024,12/24/2024,,,,6.71E+11,3300000000,,,,
DeepSeek-V3 (Mar 2025),2/17/2026,3300000000,6.71E+11,Industry,3/24/2025,3/24/2025,,,,6.71E+11,3300000000,,,,
DeepStack,2/17/2026,14463.36,2500000,Academia,1/6/2017,1/6/2017,,,,2500000,14463.36,,,,
DeiT-B,2/17/2026,78840,86000000,Academia and industry collaboration,1/15/2021,1/15/2021,,,,86000000,78840,,,,
Denoising Diffusion Probabilistic Models (LSUN Bedroom),2/17/2026,78401.25,256000000,Academia,6/11/2021,6/11/2021,,,,256000000,78401.25,,,,
Detic,2/17/2026,23439.975,88000000,Academia and industry collaboration,1/7/2022,1/7/2022,,,,88000000,23439.975,,,,
DiT-XL/2,2/17/2026,600000,675000000,Academia,3/2/2023,3/2/2023,,,,675000000,600000,,,,
DiffDock,2/17/2026,72000,20240000,Academia,10/4/2022,10/4/2022,,,,20240000,72000,,,,
DistBelief Speech,2/17/2026,311.40002,47185920,Industry,12/3/2012,12/3/2012,,,,47185920,311.40002,,,,
DistilBERT,2/17/2026,12441.6,66000000,Industry,10/2/2019,10/2/2019,,,,66000000,12441.6,,,,
