K_per_kw_month,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,fixed100_net_mean_$M,fixed100_vs_lmp_only,lmp_only_mean_$M
7.28,100.0,36366.10323829299,2.700457623504917,36366.10323829299,2.700457623504917,36363.40278066949
7.3,100.0,36366.091238293,2.6884576235097484,36366.091238293,2.6884576235097484,36363.40278066949
7.32,100.0,36366.079238292994,2.6764576235073037,36366.079238292994,2.6764576235073037,36363.40278066949
7.34,100.0,36366.06723829299,2.664457623504859,36366.06723829299,2.664457623504859,36363.40278066949
7.36,100.0,36366.055238293,2.65245762350969,36366.055238293,2.65245762350969,36363.40278066949
7.38,100.0,36366.043238292994,2.6404576235072454,36366.043238292994,2.6404576235072454,36363.40278066949
7.4,100.0,36366.03123829299,2.6284576235048007,36366.03123829299,2.6284576235048007,36363.40278066949
7.42,100.0,36366.019238292996,2.616457623509632,36366.019238292996,2.616457623509632,36363.40278066949
7.44,100.0,36366.007238292994,2.6044576235071872,36366.007238292994,2.6044576235071872,36363.40278066949
7.46,100.0,36365.99523829299,2.5924576235047425,36365.99523829299,2.5924576235047425,36363.40278066949
7.48,100.0,36365.983238292996,2.5804576235095738,36365.983238292996,2.5804576235095738,36363.40278066949
7.5,100.0,36365.971238292994,2.568457623507129,36365.971238292994,2.568457623507129,36363.40278066949
7.52,100.0,36365.95923829299,2.5564576235046843,36365.95923829299,2.5564576235046843,36363.40278066949
7.54,100.0,36365.947238292996,2.5444576235095155,36365.947238292996,2.5444576235095155,36363.40278066949
7.56,100.0,36365.935238292994,2.532457623507071,36365.935238292994,2.532457623507071,36363.40278066949
7.58,100.0,36365.92323829299,2.520457623504626,36365.92323829299,2.520457623504626,36363.40278066949
7.6,100.0,36365.911238292996,2.5084576235094573,36365.911238292996,2.5084576235094573,36363.40278066949
7.62,100.0,36365.899238292994,2.4964576235070126,36365.899238292994,2.4964576235070126,36363.40278066949
7.64,100.0,36365.88723829299,2.484457623504568,36365.88723829299,2.484457623504568,36363.40278066949
7.66,100.0,36365.875238292996,2.472457623509399,36365.875238292996,2.472457623509399,36363.40278066949
7.68,100.0,36365.86323829299,2.4604576235069544,36365.86323829299,2.4604576235069544,36363.40278066949
7.7,100.0,36365.85123829299,2.4484576235045097,36365.85123829299,2.4484576235045097,36363.40278066949
7.72,100.0,36365.839238292996,2.436457623509341,36365.839238292996,2.436457623509341,36363.40278066949
7.74,100.0,36365.82723829299,2.424457623506896,36365.82723829299,2.424457623506896,36363.40278066949
7.76,100.0,36365.81523829299,2.4124576235044515,36365.81523829299,2.4124576235044515,36363.40278066949
7.78,100.0,36365.803238292996,2.4004576235092827,36365.803238292996,2.4004576235092827,36363.40278066949
7.8,100.0,36365.79123829299,2.388457623506838,36365.79123829299,2.388457623506838,36363.40278066949
7.82,100.0,36365.77923829299,2.3764576235043933,36365.77923829299,2.3764576235043933,36363.40278066949
7.84,100.0,36365.767238292996,2.3644576235092245,36365.767238292996,2.3644576235092245,36363.40278066949
7.86,100.0,36365.75523829299,2.35245762350678,36365.75523829299,2.35245762350678,36363.40278066949
7.88,100.0,36365.74323829299,2.340457623504335,36365.74323829299,2.340457623504335,36363.40278066949
7.9,100.0,36365.731238292996,2.3284576235091663,36365.731238292996,2.3284576235091663,36363.40278066949
7.92,100.0,36365.71923829299,2.3164576235067216,36365.71923829299,2.3164576235067216,36363.40278066949
7.94,100.0,36365.70723829299,2.304457623504277,36365.70723829299,2.304457623504277,36363.40278066949
