K_per_kw_month,optimal_mw,optimal_net_mean_$M,optimal_vs_lmp_only,fixed100_net_mean_$M,fixed100_vs_lmp_only,lmp_only_mean_$M
1.24,100.0,36378.700271083275,1.4360979348784895,36378.700271083275,1.4360979348784895,36377.2641731484
1.26,100.0,36378.68827108327,1.4240979348760447,36378.68827108327,1.4240979348760447,36377.2641731484
1.28,100.0,36378.67627108328,1.412097934880876,36378.67627108328,1.412097934880876,36377.2641731484
1.3,100.0,36378.664271083275,1.4000979348784313,36378.664271083275,1.4000979348784313,36377.2641731484
1.32,100.0,36378.65227108327,1.3880979348759865,36378.65227108327,1.3880979348759865,36377.2641731484
1.34,100.0,36378.64027108328,1.3760979348808178,36378.64027108328,1.3760979348808178,36377.2641731484
1.36,100.0,36378.628271083275,1.364097934878373,36378.628271083275,1.364097934878373,36377.2641731484
1.38,100.0,36378.61627108327,1.3520979348759283,36378.61627108327,1.3520979348759283,36377.2641731484
1.4,100.0,36378.60427108328,1.3400979348807596,36378.60427108328,1.3400979348807596,36377.2641731484
1.42,100.0,36378.592271083275,1.3280979348783148,36378.592271083275,1.3280979348783148,36377.2641731484
1.44,100.0,36378.58027108327,1.3160979348758701,36378.58027108327,1.3160979348758701,36377.2641731484
1.46,100.0,36378.56827108328,1.3040979348807014,36378.56827108328,1.3040979348807014,36377.2641731484
1.48,100.0,36378.556271083275,1.2920979348782566,36378.556271083275,1.2920979348782566,36377.2641731484
1.5,100.0,36378.54427108327,1.280097934875812,36378.54427108327,1.280097934875812,36377.2641731484
1.52,100.0,36378.53227108328,1.2680979348806432,36378.53227108328,1.2680979348806432,36377.2641731484
1.54,100.0,36378.520271083275,1.2560979348781984,36378.520271083275,1.2560979348781984,36377.2641731484
1.56,100.0,36378.50827108327,1.2440979348757537,36378.50827108327,1.2440979348757537,36377.2641731484
1.58,100.0,36378.49627108328,1.232097934880585,36378.49627108328,1.232097934880585,36377.2641731484
1.6,100.0,36378.484271083275,1.2200979348781402,36378.484271083275,1.2200979348781402,36377.2641731484
1.62,100.0,36378.47227108327,1.2080979348756955,36378.47227108327,1.2080979348756955,36377.2641731484
1.64,100.0,36378.46027108328,1.1960979348805267,36378.46027108328,1.1960979348805267,36377.2641731484
1.66,100.0,36378.448271083274,1.184097934878082,36378.448271083274,1.184097934878082,36377.2641731484
1.68,100.0,36378.43627108327,1.1720979348756373,36378.43627108327,1.1720979348756373,36377.2641731484
1.7,100.0,36378.42427108328,1.1600979348804685,36378.42427108328,1.1600979348804685,36377.2641731484
1.72,100.0,36378.412271083274,1.1480979348780238,36378.412271083274,1.1480979348780238,36377.2641731484
1.74,100.0,36378.40027108327,1.136097934875579,36378.40027108327,1.136097934875579,36377.2641731484
1.76,100.0,36378.38827108328,1.1240979348804103,36378.38827108328,1.1240979348804103,36377.2641731484
1.78,100.0,36378.376271083274,1.1120979348779656,36378.376271083274,1.1120979348779656,36377.2641731484
1.8,100.0,36378.36427108327,1.1000979348755209,36378.36427108327,1.1000979348755209,36377.2641731484
1.82,100.0,36378.35227108328,1.0880979348803521,36378.35227108328,1.0880979348803521,36377.2641731484
1.84,100.0,36378.340271083274,1.0760979348779074,36378.340271083274,1.0760979348779074,36377.2641731484
1.86,100.0,36378.32827108327,1.0640979348754627,36378.32827108327,1.0640979348754627,36377.2641731484
1.88,100.0,36378.31627108328,1.052097934880294,36378.31627108328,1.052097934880294,36377.2641731484
1.9,100.0,36378.304271083274,1.0400979348778492,36378.304271083274,1.0400979348778492,36377.2641731484
1.92,100.0,36378.29227108327,1.0280979348754045,36378.29227108327,1.0280979348754045,36377.2641731484
1.94,100.0,36378.28027108328,1.0160979348802357,36378.28027108328,1.0160979348802357,36377.2641731484
1.96,100.0,36378.268271083274,1.004097934877791,36378.268271083274,1.004097934877791,36377.2641731484
1.98,100.0,36378.25627108327,0.9920979348753463,36378.25627108327,0.9920979348753463,36377.2641731484
2.0,100.0,36378.24427108328,0.9800979348801775,36378.24427108328,0.9800979348801775,36377.2641731484
2.02,100.0,36378.232271083274,0.9680979348777328,36378.232271083274,0.9680979348777328,36377.2641731484
2.04,100.0,36378.22027108327,0.956097934875288,36378.22027108327,0.956097934875288,36377.2641731484
